
SINGLE	MENTIONS
 
1	Jay-Z (ft. Alicia Keys), Empire State of Mind 
Roc Nation	89
2	Phoenix, 1901 
Glassnote	81
3	Animal Collective, My Girls 
Domino	77
4	Grizzly Bear, Two Weeks 
Warp	66
5	Dirty Projectors, Stillness Is the Move 
Domino	64
6	Yeah Yeah Yeahs, Zero 
DGC/Interscope	59
7	Lady Gaga, Bad Romance 
Streamline/Interscope	51
8	Girls, Lust for Life 
True Panther	42
8	Phoenix, Lisztomania 
Glassnote	42
10	Taylor Swift, You Belong With Me 
Big Machine	41
11	Lady Gaga, Paparazzi 
Streamline/Interscope	36
12	Yeah Yeah Yeahs, Heads Will Roll 
DGC/Interscope	29
13	Lady Gaga, Poker Face 
Streamline/Interscope	28
14	Bat for Lashes, Daniel 
Astralwerks	27
14	Kings of Leon, Use Somebody 
RCA	27
14	Maxwell, Pretty Wings 
Columbia	27
17	Atlas Sound (ft. Noah Lennox), Walkabout 
Kranky	24
18	Kid Cudi, Day 'N' Nite 
GOOD Music/HeadBanga Muzik Group	23
19	Black Eyed Peas, I Gotta Feeling 
Interscope	22
19	Joy Orbison, Hyph Mngo 
Hotflush	22
21	Big Boi (ft. Gucci Mane), Shine Blockas 
LaFace	21
21	Lily Allen, The Fear 
Capitol	21
23	The Avett Brothers, I and Love and You 
American/Columbia	20
23	The Big Pink, Dominos 
4AD	20
23	The Pains of Being Pure at Heart, Young Adult Friction 
Slumberland/Fortuna Pop	20
26	Camera Obscura, French Navy 
4AD	19
26	Drake, Best I Ever Had 
Young Money/Cash Money/Universal Motown	19
26	Grizzly Bear (ft. Michael McDonald), While You Wait for the Others 
Warp	19
26	Julian Casablancas, 11th Dimension 
RCA	19
26	Neko Case, This Tornado Loves You 
Anti	19
31	Das Racist, Combination Pizza Hut and Taco Bell 
Das Racist	18
31	Girls, Hellhole Ratrace 
True Panther	18
31	Jay-Z (ft. Rihanna and Kanye West), Run This Town 
Roc Nation	18
31	The xx, Crystalised 
Young Turks	18
35	Black Eyed Peas, Boom Boom Pow 
Interscope	17
35	Neko Case, People Got a Lotta Nerve 
Anti	17
37	Miley Cyrus, Party in the USA 
Hollywood	16
37	Pearl Jam, The Fixer 
Monkeywrench	16
37	Raekwon (ft. Ghostface Killah, Inspectah Deck and Method Man), House of Flying Daggers 
Wu	16
40	Japandroids, Young Hearts Spark Fire 
Unfamiliar	15
4
