"date","album","artist","index"
1985-01-05,"Kentucky Hearts","Exile",0
1985-01-26,"Why Not Me","The Judds",0
1985-02-23,"Country Boy","Ricky Skaggs",0
1985-03-16,"Treadin Water","Earl Thomas Conley",0
1985-03-23,"Friendship","Ray Charles",0
1985-03-30,"40 Hour Week","Alabama",0
1985-06-22,"Five-O","Hank Williams Jr.",0
1985-09-07,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-09-28,"Highwayman","Willie, Waylon, Johnny",0
1985-10-19,"Pardners In Rhyme","The Statler Brothers",0
1985-12-07,"Rhythm And Romance","Rosanne Cash",0
1985-12-14,"Something Special","George Strait",0
1985-12-21,"Anything Goes","Gary Morris",0
1985-12-28,"The Heart Of The Matter","Kenny Rogers",0
1986-02-08,"Greatest Hits, Volume II","Hank Williams Jr.",0
1986-02-22,"Streamline","Lee Greenwood",0
1986-03-01,"Rockin With The Rhythm","The Judds",0
1986-03-08,"Won t Be Blue Anymore","Dan Seals",0
1986-03-15,"I Have Returned","Ray Stevens",0
1986-03-22,"Greatest Hits","Earl Thomas Conley",0
1986-03-29,"Live In London","Ricky Skaggs",0
1986-04-19,"A Memory Like You","John Schneider",0
1986-05-24,"Whoever s In New England","Reba McEntire",0
1986-05-31,"The Promiseland","Willie Nelson",0
1986-06-14,"Will The Wolf Survive","Waylon Jennings",0
1986-06-21,"Lost In The Fifties Tonight","Ronnie Milsap",0
1986-06-28,"Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam",471
1986-07-12,"#7","George Strait",0
1986-08-09,"Storms Of Life","Randy Travis",0
1986-09-13,"Montana Cafe","Hank Williams Jr.",0
1986-11-08,"Guitar Town","Steve Earle",445
1986-11-15,"The Touch","Alabama",0
1987-01-24,"What Am I Gonna Do About You","Reba McEntire",0
1987-02-14,"Ocean Front Property","George Strait",0
1987-03-21,"Heartland","The Judds",0
1987-04-11,"Hank Live","Hank Williams Jr.",0
1987-04-18,"Wheels","Restless Heart",0
1987-05-02,"Trio","Dolly Parton, Linda Ronstadt, Emmylou Harris",0
1987-06-06,"Hillbilly Deluxe","Dwight Yoakam",0
1987-06-20,"Always","Randy Travis",0
1987-08-29,"Born To Boogie","Hank Williams Jr.",0
1987-11-07,"Greatest Hits, Vol. 2","George Strait",0
1987-11-14,"Always & Forever","Randy Travis",0
1987-11-21,"Just Us","Alabama",0
1988-02-27,"80 s Ladies","K.T. Oslin",0
1988-03-05,"Wild Eyed Dream","Ricky Van Shelton",0
1988-04-23,"If You Ain't Lovin' You Ain't Livin'","George Strait",0
1988-04-30,"If You Ain t Lovin You Ain t Livin","George Strait",0
1988-06-11,"Reba","Reba McEntire",0
1988-08-06,"Alabama Live","Alabama",0
1988-08-13,"Wild Streak","Hank Williams Jr.",0
1988-08-27,"Old 8 x 10","Randy Travis",0
1988-10-22,"Buenas Noches From A Lonely Room","Dwight Yoakam",0
1988-11-05,"Loving Proof","Ricky Van Shelton",0
1989-03-11,"Southern Star","Alabama",0
1989-04-01,"Greatest Hits III","Hank Williams Jr.",0
1989-04-29,"Beyond The Blue Neon","George Strait",0
1989-06-24,"Sweet Sixteen","Reba McEntire",0
1989-09-23,"Killin Time","Clint Black",0
1989-11-04,"No Holdin Back","Randy Travis",0
1989-12-16,"No Holdin' Back","Randy Travis",0
1990-03-03,"RVS III","Ricky Van Shelton",0
1990-07-14,"Livin It Up","George Strait",0
1990-10-13,"No Fences","Garth Brooks",0
1990-11-24,"Heroes And Friends","Randy Travis",0
1990-12-22,"Put Yourself In My Shoes","Clint Black",0
1991-05-18,"Eagle When She Flies","Dolly Parton",0
1991-09-28,"Ropin The Wind","Garth Brooks",0
1992-04-18,"Wynonna","Wynonna",0
1992-06-06,"Some Gave All","Billy Ray Cyrus",0
1992-10-10,"The Chase","Garth Brooks",0
1993-05-22,"It s Your Call","Reba McEntire",0
1993-05-29,"Tell Me Why","Wynonna",0
1993-07-03,"Pure Country (Soundtrack)","George Strait",0
1993-07-10,"It Won t Be The Last","Billy Ray Cyrus",0
1993-08-14,"A Lot About Livin (And A Little Bout Love)","Alan Jackson",0
1993-09-18,"In Pieces","Garth Brooks",0
1993-11-06,"Common Thread: The Songs Of The Eagles","Various Artists",0
1994-01-22,"Greatest Hits Volume Two","Reba McEntire",0
1994-02-12,"Kickin It Up","John Michael Montgomery",0
1994-03-26,"Rhythm Country","Various Artists",0
1994-04-09,"Not A Moment Too Soon","Tim McGraw",0
1994-07-23,"Who I Am","Alan Jackson",0
1994-10-15,"Waitin On Sundown","Brooks",0
1994-10-22,"Stones In The Road","Mary Chapin Carpenter",0
1994-11-26,"Lead On","George Strait",0
1994-12-31,"The Hits","Garth Brooks",0
1995-04-15,"John Michael Montgomery","John Michael Montgomery",0
1995-07-22,"The Woman In Me","Shania Twain",0
1995-10-07,"All I Want","Tim McGraw",0
1995-10-21,"Starting Over","Reba McEntire",0
1995-11-11,"The Greatest Hits Collection","Alan Jackson",0
1995-12-09,"Fresh Horses","Garth Brooks",0
1996-05-04,"Borderline","Brooks & Dunn",0
1996-05-11,"Blue Clear Sky","George Strait",0
1996-07-27,"Blue","LeAnn Rimes",0
1996-11-16,"Everything I Love","Alan Jackson",0
1996-11-30,"What If It's You","Reba McEntire",0
1997-03-01,"Unchained Melody/The Early Years","LeAnn Rimes",0
1997-05-10,"Carrying Your Love With Me","George Strait",0
1997-06-28,"Everywhere","Tim McGraw",0
