"date","song","artist","index"
1985-01-05,"Operator","Midnight Star",0
1985-01-26,"Gotta Get You Home Tonight","Eugene Wilde",0
1985-02-02,"Mr. Telephone Man","New Edition",0
1985-02-23,"Missing You","Diana Ross",155
1985-03-16,"Nightshift","Commodores",178
1985-04-13,"Back In Stride","Maze Featuring Frankie Beverly",0
1985-04-27,"Rhythm Of the Night","Debarge",0
1985-05-04,"We Are The World","USA For Africa",174
1985-05-18,"Fresh","Kool",0
1985-05-25,"You Give Good Love","Whitney Houston",0
1985-06-01,"Rock Me Tonight","Freddie Jackson",0
1985-07-13,"Hangin On A String","Loose Ends",0
1985-07-20,"Save Your Love (For #1)","Rene",0
1985-08-03,"Freeway Of Love","Aretha Franklin",157
1985-09-07,"Saving All My Love For You","Whitney Houston",0
1985-09-14,"Cherish","Kool",0
1985-09-21,"Oh Sheila","Ready For The World",0
1985-10-05,"You Are My Lady","Freddie Jackson",0
1985-10-19,"Part-Time Lover","Stevie Wonder",0
1985-11-30,"Caravan of Love","Isley/Jasper/Isley",0
1985-12-21,"Don t Say No Tonight","Eugene Wilde",0
1986-01-11,"Say You, Say Me","Lionel Richie",0
1986-01-25,"That s What Friends Are For","Dionne",0
1986-02-15,"Do Me Baby","Meli sa Morgan",0
1986-03-08,"How Will I Know","Whitney Houston",0
1986-03-15,"Your Smile","Rene",0
1986-03-22,"What Have You Done For Me Lately","Janet Jackson",0
1986-04-05,"Kiss","Prince And The Revolution",185
1986-05-03,"I Have Learned To Respect The Power Of Love","Stephanie Mills",0
1986-05-17,"On My Own","Patti LaBelle",0
1986-06-14,"Nasty","Janet Jackson",193
1986-06-28,"There ll Be Sad Songs (To Make You Cry)","Billy Ocean",0
1986-07-12,"Who s Johnny (Short Circuit Theme)","El DeBarge",0
1986-07-19,"Rumors","Timex Social Club",0
1986-08-02,"Closer Than Close","Jean Carne",0
1986-08-16,"Do You Get Enough Love","Shirley Jones",0
1986-08-30,"Love Zone","Billy Ocean",0
1986-09-06,"Ain t Nothin Goin On But The Rent","Gwen Guthrie",0
1986-09-13,"(Pop Pop Pop Pop) Goes My Mind","Levert",0
1986-09-20,"The Rain","Oran Juice Jones",0
1986-10-04,"Word Up","Cameo",184
1986-10-25,"Shake You Down","Gregory Abbott",0
1986-11-08,"A Little Bit More","Melba Moore (Duet With Freddie Jackson)",0
1986-11-15,"Tasty Love","Freddie Jackson",0
1986-12-13,"Love You Down","Ready For The World",0
1986-12-27,"Girlfriend","Bobby Brown",0
1987-01-10,"Control","Janet Jackson",0
1987-01-17,"Stop To Love","Luther Vandross",0
1987-01-31,"Candy","Cameo",0
1987-02-14,"Falling","Melba Moore",0
1987-02-21,"Have You Ever Loved Somebody","Freddie Jackson",0
1987-03-07,"Slow Down","Loose Ends",0
1987-03-14,"Let s Wait Awhile","Janet Jackson",0
1987-03-21,"Looking For A New Love","Jody Watley",0
1987-04-11,"Sign O The Times","The Artist",208
1987-05-02,"Don t Disturb This Groove","The System",0
1987-05-09,"There s Nothing Better Than Love","Luther Vandross with Gregory Hines",0
1987-05-16,"Always","Atlantic Starr",0
1987-05-30,"Head To Toe","Lisa Lisa",0
1987-06-13,"Rock Steady","The Whispers",0
1987-06-20,"Diamonds","Herb Alpert Featuring Janet Jackson",0
1987-07-04,"I Feel Good All Over","Stephanie Mills",0
1987-07-25,"Fake","Alexander O Neal",233
1987-08-08,"The Pleasure Principle","Janet Jackson",0
1987-08-15,"Jam Tonight","Freddie Jackson",0
1987-08-22,"Casanova","Levert",222
1987-09-05,"Love Is A House","Force M.D. s",0
1987-09-19,"I Just Can t Stop Loving You","Michael Jackson With Siedah Garrett",0
1987-09-26,"I Need Love","LL Cool J",0
1987-10-03,"Lost In Emotion","Lisa Lisa",0
1987-10-10,"(You're Puttin') A Rush On Me","Stephanie Mills",0
1987-10-17,"Bad","Michael Jackson",0
1987-11-07,"Lovin You","The O Jays",0
1987-11-14,"Angel","Angela Winbush",0
1987-11-28,"Skeletons","Stevie Wonder",220
1987-12-12,"System of Survival","Earth, Wind",0
1987-12-19,"I Want To Be Your Man","Roger",0
1987-12-26,"The Way You Make Me Feel","Michael Jackson",231
1988-01-23,"Love Overboard","Gladys Knight",0
1988-01-30,"I Want Her","Keith Sweat",257
1988-03-05,"You Will Know","Stevie Wonder",0
1988-03-12,"Fishnet","Morris Day",0
1988-03-26,"Man In The Mirror","Michael Jackson",254
1988-04-02,"Wishing Well","Terence Trent D'Arby",245
1988-04-16,"Get Outta My Dreams, Get Into My Car","Billy Ocean",0
1988-04-23,"Da Butt (From The Film School Daze)","E.U.",247
1988-04-30,"Nite And Day","Al B. Sure!",0
1988-05-21,"Mercedes Boy","Pebbles",0
1988-05-28,"Just Got Paid","Johnny Kemp",0
1988-06-11,"Little Walter","Tony Toni Tone",0
1988-06-25,"Joy","Teddy Pendergrass",0
1988-07-09,"Paradise","Sade",0
1988-07-16,"Roses Are Red","The Mac Band Featuring The McCampbell Brothers",0
1988-07-23,"Don't Be Cruel","Bobby Brown",0
1988-08-06,"Off On Your Own (Girl)","Al B. Sure!",0
