"date","song","artist","index"
1985-01-05,"The Boys Of Summer","Don Henley",161
1985-01-19,"I Want To Know What Love Is","Foreigner",0
1985-01-26,"The Old Man Down The Road","John Fogerty",142
1985-02-16,"Somebody","Bryan Adams",0
1985-03-02,"Just Another Night","Mick Jagger",0
1985-03-16,"Radioactive","The Firm",0
1985-03-23,"All She Wants To Do Is Dance","Don Henley",0
1985-04-06,"Forever Man","Eric Clapton",0
1985-04-20,"Don t You (Forget About Me)","Simple Minds",0
1985-05-11,"Trapped","Bruce Springsteen",0
1985-06-01,"Little By Little","Robert Plant",0
1985-06-15,"Tough All Over","John Cafferty",0
1985-06-29,"If You Love Somebody Set Them Free","Sting",0
1985-07-20,"The Power Of Love","Huey Lewis",0
1985-08-03,"Money For Nothing","Dire Straits",167
1985-08-24,"Fortress Around Your Heart","Sting",0
1985-09-07,"Lonely Ol Night","John Mellencamp",0
1985-10-12,"We Built This City","Starship",0
1985-10-19,"You Belong To The City","Glenn Frey",0
1985-11-09,"Sleeping Bag","ZZ Top",0
1985-11-23,"Tonight She Comes","The Cars",0
1985-12-14,"Talk To Me","Stevie Nicks",0
1985-12-28,"Silent Running","Mike",0
1986-02-01,"Kyrie","Mr. Mister",0
1986-02-08,"Stages","ZZ Top",0
1986-02-22,"All The Kings Horses","The Firm",0
1986-03-22,"Addicted To Love","Robert Palmer",204
1986-04-05,"Why Can t This Be Love","Van Halen",0
1986-04-26,"Stick Around","Julian Lennon",0
1986-05-17,"Like A Rock","Bob Seger",0
1986-05-31,"Sledgehammer","Peter Gabriel",186
1986-06-14,"Invisible Touch","Genesis",0
1986-07-05,"Secret Separation","The Fixx",0
1986-07-19,"Higher Love","Steve Winwood",190
1986-08-16,"Missionary Man","Eurythmics",0
1986-08-23,"Throwing It All Away","Genesis",0
1986-09-13,"In Your Eyes","Peter Gabriel",0
1986-09-20,"Take Me Home Tonight","Eddie Money",0
1986-10-04,"Emotion In Motion","Ric Ocasek",0
1986-10-11,"Amanda","Boston",0
1986-11-01,"Hip To Be Square","Huey Lewis",0
1986-11-08,"Don't Get Me Wrong","Pretenders",197
1986-11-29,"I Want To Make The World","Steve Miller",0
1987-01-10,"It's In The Way You Use It","Eric Clapton",0
1987-01-17,"My Baby","Pretenders",0
1987-01-31,"Livin On A Prayer","Bon Jovi",0
1987-02-14,"Midnight Blue","Lou Gramm",0
1987-03-21,"I m No Angel","Gregg Allman",0
1987-03-28,"Come As You Are","Peter Wolf",0
1987-04-04,"With Or Without You","U2",223
1987-05-09,"Jammin Me","Tom Petty And The Heartbreakers",0
1987-06-06,"Shakedown","Bob Seger",0
1987-07-04,"Don t Mean Nothing","Richard Marx",0
1987-07-11,"Give To Live","Sammy Hagar",0
1987-08-01,"Touch Of Grey","Grateful Dead",213
1987-08-22,"Paper In Fire","John Mellencamp",0
1987-09-26,"Learning To Fly","Pink Floyd",0
1987-10-17,"Brilliant Disguise","Bruce Springsteen",214
1987-10-24,"Love Will Find A Way","Yes",0
1987-11-14,"Cherry Bomb","John Mellencamp",0
1987-11-21,"Tunnel Of Love","Bruce Springsteen",217
1987-12-19,"Say You Will","Foreigner",0
1988-01-16,"On The Turning Away","Pink Floyd",0
1988-01-23,"Just Like Paradise","David Lee Roth",0
1988-02-20,"Heaven Knows","Robert Plant",0
1988-04-02,"I Wish I Had A Girl","Henry Lee Summer",0
1988-04-09,"Tall Cool One","Robert Plant",0
1988-05-07,"Only A Memory","The Smithereens",0
1988-05-14,"The Valley Road","Bruce Hornsby & The Range",0
1988-06-04,"Black And Blue","Van Halen",0
1988-06-25,"Roll With It","Steve Winwood",0
1988-07-23,"When It's Love","Van Halen",0
1988-07-30,"Simply Irresistible","Robert Palmer",0
1988-08-20,"Hate To Lose Your Lovin","Little Feat",0
1988-09-17,"Don t You Know What The Night Can Do","Steve Winwood",0
1988-10-01,"I m Not Your Man","Tommy Conwell And The Young Rumblers",0
1988-10-08,"Desire","U2",0
1988-11-12,"It s Money That Matters","Randy Newman",0
1988-11-26,"Orange Crush","R.E.M.",0
1988-12-10,"Angel Of Harlem","U2",0
1989-01-21,"Got It Made","Crosby, Stills, Nash",0
1989-02-04,"The Love In Your Eyes","Eddie Money",0
1989-02-11,"Stand","R.E.M.",0
1989-02-18,"Driven Out","The Fixx",0
1989-03-18,"Working On It","Chris Rea",0
1989-03-25,"I ll Be You","The Replacements",277
1989-04-15,"Now You re In Heaven","Julian Lennon",0
1989-04-22,"I Won t Back Down","Tom Petty",0
1989-05-27,"The Doctor","The Doobie Brothers",0
1989-06-17,"Rooms On Fire","Stevie Nicks",0
1989-06-24,"Runnin Down A Dream","Tom Petty",0
1989-07-01,"The End Of The Innocence","Don Henley",0
1989-07-29,"Crossfire","Stevie Ray Vaughan And Double Trouble",0
1989-08-19,"Let The Day Begin","The Call",0
1989-08-26,"Free Fallin","Tom Petty",0
1989-09-02,"Mixed Emotions","The Rolling Stones",268
1989-10-07,"Love In An Elevator","Aerosmith",0
1989-10-21,"Rock And A Hard Place","The Rolling Stones",0
1989-11-25,"Pretending","Eric Clapton",0
1989-12-30,"Show Don t Tell","Rush",0
1990-01-13,"Downtown Train","Rod Stewart",0
1990-01-27,"Bad Love","Eric Clapton",0
1990-02-17,"Black Velvet","Alannah Myles",0
