"date","song","artist","index"
1983-01-01,"Maneater","Daryl Hall John Oates",0
1983-01-08,"Maneater","Daryl Hall John Oates",0
1983-01-15,"Down Under","Men At Work",0
1983-01-22,"Down Under","Men At Work",0
1983-01-29,"Down Under","Men At Work",0
1983-02-05,"Africa","Toto",0
1983-02-12,"Down Under","Men At Work",0
1983-02-19,"Baby, Come To Me","Patti Austin With James Ingram",0
1983-02-26,"Baby, Come To Me","Patti Austin With James Ingram",0
1983-03-05,"Billie Jean","Michael Jackson",105
1983-03-12,"Billie Jean","Michael Jackson",105
1983-03-19,"Billie Jean","Michael Jackson",105
1983-03-26,"Billie Jean","Michael Jackson",105
1983-04-02,"Billie Jean","Michael Jackson",105
1983-04-09,"Billie Jean","Michael Jackson",105
1983-04-16,"Billie Jean","Michael Jackson",105
1983-04-23,"Come On Eileen","Dexys Midnight Runners",0
1983-04-30,"Beat It","Michael Jackson",111
1983-05-07,"Beat It","Michael Jackson",111
1983-05-14,"Beat It","Michael Jackson",111
1983-05-21,"Let's Dance","David Bowie",118
1983-05-28,"Flashdance...What A Feeling","Irene Cara",0
1983-06-04,"Flashdance...What A Feeling","Irene Cara",0
1983-06-11,"Flashdance...What A Feeling","Irene Cara",0
1983-06-18,"Flashdance...What A Feeling","Irene Cara",0
1983-06-25,"Flashdance...What A Feeling","Irene Cara",0
1983-07-02,"Flashdance...What A Feeling","Irene Cara",0
1983-07-09,"Every Breath You Take","The Police",106
1983-07-16,"Every Breath You Take","The Police",106
1983-07-23,"Every Breath You Take","The Police",106
1983-07-30,"Every Breath You Take","The Police",106
1983-08-06,"Every Breath You Take","The Police",106
1983-08-13,"Every Breath You Take","The Police",106
1983-08-20,"Every Breath You Take","The Police",106
1983-08-27,"Every Breath You Take","The Police",106
1983-09-03,"Sweet Dreams (Are Made Of This)","Eurythmics",0
1983-09-10,"Maniac","Michael Sembello",0
1983-09-17,"Maniac","Michael Sembello",0
1983-09-24,"Tell Her About It","Billy Joel",0
1983-10-01,"Total Eclipse Of The Heart","Bonnie Tyler",0
1983-10-08,"Total Eclipse Of The Heart","Bonnie Tyler",0
1983-10-15,"Total Eclipse Of The Heart","Bonnie Tyler",0
1983-10-22,"Total Eclipse Of The Heart","Bonnie Tyler",0
1983-10-29,"Islands In The Stream","Kenny Rogers with Dolly Parton",0
1983-11-05,"Islands In The Stream","Kenny Rogers with Dolly Parton",0
1983-11-12,"All Night Long (All Night)","Lionel Richie",0
1983-11-19,"All Night Long (All Night)","Lionel Richie",0
1983-11-26,"All Night Long (All Night)","Lionel Richie",0
1983-12-03,"All Night Long (All Night)","Lionel Richie",0
1983-12-10,"Say Say Say","Paul McCartney And Michael Jackson",0
1983-12-17,"Say Say Say","Paul McCartney And Michael Jackson",0
1983-12-24,"Say Say Say","Paul McCartney And Michael Jackson",0
1983-12-31,"Say Say Say","Paul McCartney And Michael Jackson",0
1984-01-07,"Say Say Say","Paul McCartney And Michael Jackson",0
1984-01-14,"Say Say Say","Paul McCartney And Michael Jackson",0
1984-01-21,"Owner Of A Lonely Heart","Yes",0
1984-01-28,"Owner Of A Lonely Heart","Yes",0
1984-02-04,"Karma Chameleon","Culture Club",125
1984-02-11,"Karma Chameleon","Culture Club",125
1984-02-18,"Karma Chameleon","Culture Club",125
1984-02-25,"Jump","Van Halen",134
1984-03-03,"Jump","Van Halen",134
1984-03-10,"Jump","Van Halen",134
1984-03-17,"Jump","Van Halen",134
1984-03-24,"Jump","Van Halen",134
1984-03-31,"Footloose","Kenny Loggins",0
1984-04-07,"Footloose","Kenny Loggins",0
1984-04-14,"Footloose","Kenny Loggins",0
1984-04-21,"Against All Odds (Take A Look At Me Now)","Phil Collins",0
1984-04-28,"Against All Odds (Take A Look At Me Now)","Phil Collins",0
1984-05-05,"Against All Odds (Take A Look At Me Now)","Phil Collins",0
1984-05-12,"Hello","Lionel Richie",0
1984-05-19,"Hello","Lionel Richie",0
1984-05-26,"Let's Hear It For The Boy","Deniece Williams",151
1984-06-02,"Let's Hear It For The Boy","Deniece Williams",151
1984-06-09,"Time After Time","Cyndi Lauper",140
1984-06-16,"Time After Time","Cyndi Lauper",140
1984-06-23,"The Reflex","Duran Duran",0
1984-06-30,"The Reflex","Duran Duran",0
1984-07-07,"When Doves Cry","Prince And The Revolution",130
1984-07-14,"When Doves Cry","Prince And The Revolution",130
1984-07-21,"When Doves Cry","Prince And The Revolution",130
1984-07-28,"When Doves Cry","Prince And The Revolution",130
1984-08-04,"When Doves Cry","Prince And The Revolution",130
1984-08-11,"Ghostbusters","Ray Parker Jr.",0
1984-08-18,"Ghostbusters","Ray Parker Jr.",0
1984-08-25,"Ghostbusters","Ray Parker Jr.",0
1984-09-01,"What's Love Got To Do With It","Tina Turner",132
1984-09-08,"What's Love Got To Do With It","Tina Turner",132
1984-09-15,"What's Love Got To Do With It","Tina Turner",132
1984-09-22,"Missing You","John Waite",155
1984-09-29,"Let's Go Crazy","Prince And The Revolution",135
1984-10-06,"Let's Go Crazy","Prince And The Revolution",135
1984-10-13,"I Just Called To Say I Love You","Stevie Wonder",0
1984-10-20,"I Just Called To Say I Love You","Stevie Wonder",0
1984-10-27,"I Just Called To Say I Love You","Stevie Wonder",0
1984-11-03,"Caribbean Queen (No More Love On The Run)","Billy Ocean",0
1984-11-10,"Caribbean Queen (No More Love On The Run)","Billy Ocean",0
1984-11-17,"Wake Me Up Before You Go-Go","Wham!",0
1984-11-24,"Wake Me Up Before You Go-Go","Wham!",0
1984-12-01,"Wake Me Up Before You Go-Go","Wham!",0
1984-12-08,"Out Of Touch","Daryl Hall John Oates",0
1984-12-15,"Out Of Touch","Daryl Hall John Oates",0
1984-12-22,"Like A Virgin","Madonna",0
1984-12-29,"Like A Virgin","Madonna",0
1985-01-05,"Like A Virgin","Madonna",0
1985-01-12,"Like A Virgin","Madonna",0
1985-01-19,"Like A Virgin","Madonna",0
1985-01-26,"Like A Virgin","Madonna",0
1985-02-02,"I Want To Know What Love Is","Foreigner",0
1985-02-09,"I Want To Know What Love Is","Foreigner",0
1985-02-16,"Careless Whisper","Wham!",0
1985-02-23,"Careless Whisper","Wham!",0
1985-03-02,"Careless Whisper","Wham!",0
1985-03-09,"Can t Fight This Feeling","REO Speedwagon",0
1985-03-16,"Can t Fight This Feeling","REO Speedwagon",0
1985-03-23,"Can t Fight This Feeling","REO Speedwagon",0
1985-03-30,"One More Night","Phil Collins",0
1985-04-06,"One More Night","Phil Collins",0
1985-04-13,"We Are The World","USA For Africa",174
1985-04-20,"We Are The World","USA For Africa",174
1985-04-27,"We Are The World","USA For Africa",174
1985-05-04,"We Are The World","USA For Africa",174
1985-05-11,"Crazy For You","Madonna",0
1985-05-18,"Don t You (Forget About Me)","Simple Minds",0
1985-05-25,"Everything She Wants","Wham!",0
1985-06-01,"Everything She Wants","Wham!",0
1985-06-08,"Everybody Wants To Rule The World","Tears For Fears",182
1985-06-15,"Everybody Wants To Rule The World","Tears For Fears",182
1985-06-22,"Heaven","Bryan Adams",0
1985-06-29,"Heaven","Bryan Adams",0
1985-07-06,"Sussudio","Phil Collins",0
1985-07-13,"A View To A Kill","Duran Duran",0
1985-07-20,"A View To A Kill","Duran Duran",0
1985-07-27,"Everytime You Go Away","Paul Young",0
1985-08-03,"Shout","Tears For Fears",0
1985-08-10,"Shout","Tears For Fears",0
1985-08-17,"Shout","Tears For Fears",0
1985-08-24,"The Power Of Love","Huey Lewis",0
1985-08-31,"The Power Of Love","Huey Lewis",0
1985-09-07,"St. Elmo s Fire (Man In Motion)","John Parr",0
1985-09-14,"St. Elmo s Fire (Man In Motion)","John Parr",0
1985-09-21,"Money For Nothing","Dire Straits",167
1985-09-28,"Money For Nothing","Dire Straits",167
1985-10-05,"Money For Nothing","Dire Straits",167
1985-10-12,"Oh Sheila","Ready For The World",0
1985-10-19,"Take On Me","A-Ha",0
1985-10-26,"Saving All My Love For You","Whitney Houston",0
1985-11-02,"Part-Time Lover","Stevie Wonder",0
1985-11-09,"Miami Vice Theme","Jan Hammer",0
1985-11-16,"We Built This City","Starship",0
1985-11-23,"We Built This City","Starship",0
1985-11-30,"Separate Lives (Theme From White Nights)","Phil Collins/Marilyn Martin",0
1985-12-07,"Broken Wings","Mr. Mister",0
1985-12-14,"Broken Wings","Mr. Mister",0
1985-12-21,"Say You, Say Me (Title Song From White Nights)","Lionel Richie",0
1985-12-28,"Say You, Say Me (Title Song From White Nights)","Lionel Richie",0
1985-07-13,"A View To A Kill","Duran Duran",0
1985-07-20,"A View To A Kill","Duran Duran",0
1985-07-27,"Everytime You Go Away","Paul Young",0
1985-08-03,"Shout","Tears For Fears",0
1985-08-10,"Shout","Tears For Fears",0
1985-08-17,"Shout","Tears For Fears",0
1985-08-24,"The Power Of Love","Huey Lewis",0
1985-08-31,"The Power Of Love","Huey Lewis",0
1985-09-07,"St. Elmo s Fire (Man In Motion)","John Parr",0
1985-09-14,"St. Elmo s Fire (Man In Motion)","John Parr",0
1985-09-21,"Money For Nothing","Dire Straits",167
1985-09-28,"Money For Nothing","Dire Straits",167
1985-10-05,"Money For Nothing","Dire Straits",167
1985-10-12,"Oh Sheila","Ready For The World",0
1985-10-19,"Take On Me","A-Ha",0
1985-10-26,"Saving All My Love For You","Whitney Houston",0
1985-11-02,"Part-Time Lover","Stevie Wonder",0
1985-11-09,"Miami Vice Theme","Jan Hammer",0
1985-11-16,"We Built This City","Starship",0
1985-11-23,"We Built This City","Starship",0
1985-11-30,"Separate Lives (Theme From White Nights)","Phil Collins/Marilyn Martin",0
1985-12-07,"Broken Wings","Mr. Mister",0
1985-12-14,"Broken Wings","Mr. Mister",0
1985-12-21,"Say You, Say Me (Title Song From White Nights)","Lionel Richie",0
1985-12-28,"Say You, Say Me (Title Song From White Nights)","Lionel Richie",0
1986-01-05,"Like A Virgin","Madonna",0
1986-01-12,"Like A Virgin","Madonna",0
1986-01-19,"Like A Virgin","Madonna",0
1986-01-26,"Like A Virgin","Madonna",0
1986-02-02,"I Want To Know What Love Is","Foreigner",0
1986-02-09,"I Want To Know What Love Is","Foreigner",0
1986-02-16,"Careless Whisper","Wham!",0
1986-02-23,"Careless Whisper","Wham!",0
1986-03-02,"Careless Whisper","Wham!",0
1986-03-09,"Can t Fight This Feeling","REO Speedwagon",0
1986-03-16,"Can t Fight This Feeling","REO Speedwagon",0
1986-03-23,"Can t Fight This Feeling","REO Speedwagon",0
1986-03-30,"One More Night","Phil Collins",0
1986-04-06,"One More Night","Phil Collins",0
1986-04-13,"We Are The World","USA For Africa",174
1986-04-20,"We Are The World","USA For Africa",174
1986-04-27,"We Are The World","USA For Africa",174
1986-05-04,"We Are The World","USA For Africa",174
1986-05-11,"Crazy For You","Madonna",0
1986-05-18,"Don t You (Forget About Me)","Simple Minds",0
1986-05-25,"Everything She Wants","Wham!",0
1986-06-01,"Everything She Wants","Wham!",0
1986-06-08,"Everybody Wants To Rule The World","Tears For Fears",182
1986-06-15,"Everybody Wants To Rule The World","Tears For Fears",182
1986-06-22,"Heaven","Bryan Adams",0
1986-06-29,"Heaven","Bryan Adams",0
1986-07-06,"Sussudio","Phil Collins",0
1986-07-13,"A View To A Kill","Duran Duran",0
1986-07-20,"A View To A Kill","Duran Duran",0
1986-07-27,"Everytime You Go Away","Paul Young",0
1986-08-03,"Shout","Tears For Fears",0
1986-08-10,"Shout","Tears For Fears",0
1986-08-17,"Shout","Tears For Fears",0
1986-08-24,"The Power Of Love","Huey Lewis",0
1986-08-31,"The Power Of Love","Huey Lewis",0
1986-09-07,"St. Elmo s Fire (Man In Motion)","John Parr",0
1986-09-14,"St. Elmo s Fire (Man In Motion)","John Parr",0
1986-09-21,"Money For Nothing","Dire Straits",167
1986-09-28,"Money For Nothing","Dire Straits",167
1986-10-05,"Money For Nothing","Dire Straits",167
1986-10-12,"Oh Sheila","Ready For The World",0
1986-10-19,"Take On Me","A-Ha",0
1986-10-26,"Saving All My Love For You","Whitney Houston",0
1986-11-02,"Part-Time Lover","Stevie Wonder",0
1986-11-09,"Miami Vice Theme","Jan Hammer",0
1986-11-16,"We Built This City","Starship",0
1986-11-23,"We Built This City","Starship",0
1986-11-30,"Separate Lives (Theme From White Nights)","Phil Collins/Marilyn Martin",0
1986-12-07,"Broken Wings","Mr. Mister",0
1986-12-14,"Broken Wings","Mr. Mister",0
1986-12-21,"Say You, Say Me (Title Song From White Nights)","Lionel Richie",0
1986-12-28,"Say You, Say Me (Title Song From White Nights)","Lionel Richie",0
1986-07-13,"A View To A Kill","Duran Duran",0
1986-07-20,"A View To A Kill","Duran Duran",0
1986-07-27,"Everytime You Go Away","Paul Young",0
1986-01-04,"Say You, Say Me (Title Song From White Nights)","Lionel Richie",0
1986-01-11,"Say You, Say Me (Title Song From White Nights)","Lionel Richie",0
1986-01-18,"That s What Friends Are For","Dionne",0
1986-01-25,"That s What Friends Are For","Dionne",0
1986-02-01,"That s What Friends Are For","Dionne",0
1986-02-08,"That s What Friends Are For","Dionne",0
1986-02-15,"How Will I Know","Whitney Houston",0
1986-02-22,"How Will I Know","Whitney Houston",0
1986-03-01,"Kyrie","Mr. Mister",0
1986-03-08,"Kyrie","Mr. Mister",0
1986-03-15,"Sara","Starship",0
1986-03-22,"These Dreams","Heart",0
1986-03-29,"Rock Me Amadeus","Falco",0
1986-04-05,"Rock Me Amadeus","Falco",0
1986-04-12,"Rock Me Amadeus","Falco",0
1986-04-19,"Kiss","Prince And The Revolution",185
1986-04-26,"Kiss","Prince And The Revolution",185
1986-05-03,"Addicted To Love","Robert Palmer",204
1986-05-10,"West End Girls","Pet Shop Boys",200
1986-05-17,"Greatest Love Of All","Whitney Houston",0
1986-05-24,"Greatest Love Of All","Whitney Houston",0
1986-05-31,"Greatest Love Of All","Whitney Houston",0
1986-06-07,"Live To Tell","Madonna",0
1986-06-14,"On My Own","Patti LaBelle",0
1986-06-21,"On My Own","Patti LaBelle",0
