"rank","artist","song","votes","year","label","index"
"1","Ian Dury & the Blockheads","Hit Me With Your Rhythm Stick/Reasons to Be Cheerful, Pt. 3","29","1979","Stiff/Epic",1
"2","M","Pop Musik","26","1979","Sire",2
"3","Donna Summer","Hot Stuff","22","1979","Casablanca",3
"4","Sister Sledge","We Are Family/He's the Greatest Dancer","20","1979","Cotillion",4
"4","The Pretenders","Stop Your Sobbing/The Wait","20","1979","Real import",5
"6","Fleetwood Mac","Tusk","17","1979","Warner Bros.",6
"6","The Knack","My Sharona","17","1979","Captiol",7
"8","Blondie","Dreaming","16","1979","Chrysalis",8
"9","The Brains","Money Changes Everything","15","1979","Gray Matter",9
"9","The Flying Lizards","Money","15","1979","Virgin",10
"9","The Specials","Gangsters","13","1979","2 Tone import",11
"12","Michael Jackson","Don't Stop 'Til You Get Enough","12","1979","Epic",12
"12","The Pretenders","Kid","12","1979","Kid import",13
"12","The Records","Starry Eyes","12","1979","Virgin",14
"12","Talking Heads","Life During Wartime","12","1979","Sire",15
"16","Lester Bangs","Let It Blurt","11","1979","Spy",16
"16","Chic","Good Times","11","1979","Atlantic",17
"16","Dave Edmunds","Girls Talk","11","1979","Swan Song",18
"16","Funkadelic","(Not Just) Knee Deep","11","1979","Warner Bros.",19
"16","Peaches & Herb","Reunited","11","1979","Polydor",20
"16","Donna Summer","Bad Girls","11","1979","Casablanca",21
"22","Gang of Four","At Home He's a Tourist/It's Her Factory","10","1979","EMI import",22
"22","Robin Lane & the Chartbusters","Why Do You Tell Lies/When Things Go Wrong","10","1979","Deli Platters EP",23
"22","Nick Lowe","Cruel to Be Kind","10","1979","Columbia",24
"22","McFadden & Whitehead","Ain't No Stoppin' Us Now","10","1979","Philadelphia International",25
"22","Sugarhill Gang","Rapper's Delight","10","1979","Sugarhill",26
"1","Kurtis Blow","The Breaks","40","1980","Mercury",27
"2","Joy Division","Love Will Tear Us Apart","38","1980","Factory import",28
"3","Blondie","Call Me","36","1980","Chrysalis",29
"4","The Clash","Train in Vain/London Calling","32","1980","Epic",30
"4","Pretenders","Brass in Pocket","32","1980","Sire",31
"6","Stevie Wonder","Master Blaster (Jammin')","29","1980","Tamla",32
"7","John Lennon/Yoko Ono","Just Like Starting Over/Kiss Kiss Kiss","27","1980","Geffen",33
"8","The Vapors","Turning Japanese","23","1980","United Artists",34
"9","Lipps Inc.","Funkytown","22","1980","Casablanca",35
"10","Diana Ross","Upside Down","18","1980","Motown",36
"10","Bruce Springsteen","Hungry Heart","18","1980","Columbia",37
"12","Devo","Whip It","17","1980","Warner Bros.",38
"13","Pretenders","Talk Of the Town/Cuban Slide","16","1980","Real import",39
"14","Martha & the Muffins","Echo Beach","15","1980","Virgin",40
"14","Rolling Stones","Emotional Rescue","15","1980","Rolling Stones",41
"16","Jermaine Jackson","Let's Get Serious","14","1980","Motown",42
"16","The Pointer Sisters","He's So Shy","14","1980","Planet",43
"18","Bush Tetras","Too Many Creeps/Snakes Crawl/You Taste Like the Tropics","13","1980","99",44
"18","The Jam","Going Underground","13","1980","Polydor import",45
"18","Joy Division","Atmosphere/She's Lost Control","13","1980","Factory 12-inch",46
"21","Paul Simon","Late in the Evening","12","1980","Warner Bros.",47
"21","Donna Summer","The Wanderer","12","1980","Geffen",48
"23","Jim Carroll Band","People Who Died","11","1980","Atcol",49
"23","Dead Kennedys","Holiday in Cambodia","11","1980","Optional",50
"23","Pylon","Cool/Dub","11","1980","Caution",51
"23","Split Enz","I Got You","11","1980","A&M",52
"1","Laurie Anderson","O Superman/Walk the Dog","56","1981","One, Ten/Warner Bros.",53
"1","The Rolling Stones","Start Me Up","56","1981","Rolling Stones",54
"3","Grandmaster Flash","The Adventures of Grandmaster Flash on the Wheels of Steel","44","1981","Sugarhill",55
"4","Kim Carnes","Bette Davis Eyes","39","1981","EMI America",56
"4","Yoko Ono","Walking on Thin Ice","39","1981","Geffen",57
"6","Tom Tom Club","Genius of Love","36","1981","Sire",58
"7","Pete Shelley","Homosapien","31","1981","Genetic import",59
"7","Soft Cell","Tainted Love/Where Did Our Love Go?","31","1981","Sire",60
"9","Funky Four Plus One","That's the Joint","28","1981","Sugarhill",61
"10","Prince","Controversy","27","1981","Warner Bros.",62
"11","Grace Jones","Pull Up to the Bumper","26","1981","Island",63
"12","Taana Gardner","Heartbeat","24","1981","West End",64
"12","Billy Idol With Generation X","Dancing With Myself","24","1981","Chrysalis",65
"12","Teena Marie","Square Biz","24","1981","Gordy",66
"12","Frankie Smith","Double Dutch Bus","24","1981","WMOT",67
"16","Go-Go's","Our Lips Are Sealed","23","1981","I.R.S.",68
"17","Smokey Robinson","Being With You","22","1981","Tamla",69
"18","Rick James","Super Freak","21","1981","Gordy",70
"19","Rosanne Cash","Seven Year Ache","20","1981","Columbia",71
"20","New Order","Ceremony","18","1981","Factory",72
"21","Bob Dylan","The Groom's Still Waiting at the Altar","17","1981","Columbia",73
"22","The Pointer Sisters","Slow Hand","14","1981","Planet",74
"22","The Police","Every Little Thing She Does Is Magic","14","1981","A&M",75
"24","Squeeze","Tempted","13","1981","A&M",76
"25","Gang of Four","To Hell With Poverty","12","1981","EMI import",77
"25","Deniece Williams","Silly","12","1981","Columbia/ARC",78
"1","Grandmaster Flash & the Furious Five","The Message","156","1982","Sugarhill",79
"2","Marvin Gaye","Sexual Healing","104","1982","Columbia",80
"3","The Clash","Rock the Casbah","52","1982","Epic",81
"4","Prince","1999/How Come You Don't Call Me Anymore?","48","1982","Warner Bros.",82
"5","Soft Cell","Tainted Love/Where Did Our Love Go?","47","1982","Sire",60
"6","Musical Youth","Pass the Dutchie","44","1982","MCA",84
"7","Pretenders","Back On the Chain Gang/My City Was Gone","43","1982","Sire",85
"8","Afrika Bambaataa & the Soul Sonic Force","Planet Rock","41","1982","Tommy Boy",86
"9","ABC","The Look Of Love","32","1982","Mercury",87
"9","Aretha Franklin","Jump To It","32","1982","Arista",88
"9","The Human League","Don't You Want Me","32","1982","A&M",89
"12","New Order","Temptation","30","1982","Factory import",90
"13","Gang Of Four","I Love A Man in A Uniform/Producer","25","1982","Warner Bros.",91
"14","Junior","Mama Used To Say","24","1982","Mercury",92
"15","Toni Basil","Mickey","20","1982","Chrysalis",93
"16","Peter Gabriel","Shock the Monkey","19","1982","Geffen",94
"16","The Gap Band","You Dropped A Bomb On Me","19","1982","Total Experience",95
"18","The English Beat","Save It For Later/Jeannette","18","1982","I.R.S.",96
"18","Joe Jackson","Steppin' Out","18","1982","A&M",97
"20","Yaz","Situation/Don't Go","17","1982","Sire/Mute import",98
"21","The Fearless Four","Rockin' It","16","1982","Enjoy",99
"21","Flipper","Sex Bomb/Brainwash","16","1982","Subterranean",100
"23","Fleetwood Mac","Hold Me","15","1982","Warner Bros.",101
"23","Go-Go's","Vacation","15","1982","I.R.S.",102
"23","The Weather Girls","It's Raining Men","15","1982","Columbia",103
"23","Stevie Wonder","That Girl/Do I Do","15","1982","Tamla",104
"1","Michael Jackson","Billie Jean","75","1983","Epic",105
"2","The Police","Every Breath You Take","66","1983","A&M",106
"3","The Pretenders","Back on the Chain Gang","65","1983","Sire",107
"4","Afrika Bambaataa & the Soul Sonic Force","Looking for the Perfect Beat","45","1983","Tommy Boy",108
"4","Prince","Little Red Corvette","45","1983","Warner Bros.",109
"6","Eddy Grant","Electric Avenue","43","1983","Epic",110
"7","Michael Jackson","Beat It","42","1983","Epic",111
"8","Grandmaster Flash & Melle Mel","White Lines (Don't Don't Do It)","35","1983","Sugarhill",112
"9","Run-D.M.C.","It's Like That/Sucker MCs","31","1983","Profile",113
"10","Talking Heads","Burning Down the House","29","1983","Sire",114
"11","Elvis Costello","Everyday I Write the Book","27","1983","Columbia",115
"12","Big Country","In A Big Country","26","1983","Mercury",116
"13","George Clinton","Atomic Dog","25","1983","Capitol",117
"14","David Bowie","Let's Dance","22","1983","EMI America",118
"14","Lionel Richie","All Night Long","22","1983","Motown",119
"14","Donna Summer","She Works Hard for the Money","22","1983","Mercury",120
"17","Eurythmics","Sweet Dreams (Are Made of This)","21","1983","RCA Victor",121
"17","Herbie Hancock","Rockit","21","1983","Columbia",122
"19","Indeep","Last Night A DJ Saved My Life","19","1983","Sound of New York",123
"20","Culture Club","Church of the Poison Mind","18","1983","Epic",124
"20","Culture Club","Karma Chameleon","18","1983","Epic",125
"20","S.O.S. Band","Just Be Good To Me","18","1983","Tabu",126
"23","Culture Club","Do You Really Want To Hurt Me?","17","1983","Epic",127
"24","David Bowie","Modern Love","16","1983","EMI America",128
"24","Lyres","I Want To Help You Ann/I Really Want You Right Now","","1983","Ace of Hearts",129
"1","Prince","When Doves Cry/17 Days","111","1984","Warner Bros.",130
"2","Bruce Springsteen","Dancing in the Dark/Pink Cadillac","71","1984","Columbia",131
"3","Tina Turner","What's Love Got To Do With It","61","1984","Capitol",132
"4","Hüsker Dü","Eight Miles High","56","1984","SST",133
"5","Van Halen","Jump","52","1984","Warner Bros.",134
"6","Prince","Let's Go Crazy/Erotic City","43","1984","Warner Bros.",135
"7","Afrika Bambaataa & The Godfather of Soul James Brown","Unity","39","1984","Tommy Boy",136
"7","Run-D.M.C.","Rock Box","39","1984","Profile",137
"9","Chaka Khan","I Feel for You","37","1984","Warner Bros.",138
"10","Cyndi Lauper","Girls Just Want To Have Fun","34","1984","Portrait",139
"10","Cyndi Lauper","Time After Time","34","1984","Portrait",140
"12","U2","Pride (In the Name of Love)","33","1984","Island",141
"13","John Fogerty","The Old Man Down the Road/Big Train (From Memphis)","32","1984","Warner Bros.",142
"14","The Pretenders","Middle of the Road/2000 Miles","28","1984","Sire",143
"15","Bruce Springsteen","Born in the U.S.A./Shut Out the Light","27","1984","Columbia",144
"15","Sheila E.","The Glamorous Life","26","1984","Warner Bros.",145
"17","The Replacements","I Will Dare","25","1984","Twin/Tone",146
"17","The Special AKA","Free Nelson Mandela","25","1984","Chrysalis",147
"19","The Bangles","Going Down to Liverpool","22","1984","Columbia",148
"19","R.E.M.","South Central Rain","22","1984","I.R.S.",149
"21","Time Zone","World Destruction","20","1984","Celluloid",150
"21","Deniece Williams","Let's Hear It for the Boy","20","1984","Columbia",151
"23","Malcolm McLaren","Madam Butterfly","18","1984","Island",152
"24","Tina Turner","Better Be Good to Me","17","1984","Capitol",153
"25","Newcleus","Jam on It","16","1984","Sunnyview",154
"25","John Waite","Missing You","16","1984","EMI America",155
"1","Artists United Against Apartheid","Sun City","101","1985","Manhattan",156
"2","Aretha Franklin","Freeway of Love","59","1985","Arista",157
"3","John Fogerty","The Old Man Down the Road/Big Train (From Memphis)","51","1985","Warner Bros.",142
"4","Hüsker Dü","Makes No Sense at All/Love Is All Around","44","1985","SST",159
"5","Ramones","Bonzo Goes to Bitburg","43","1985","Beggars Banquet import",160
"6","Don Henley","The Boys of Summer/A Month of Sundays","","1985","Geffen",161
"7","Eurythmics","Would I Lie to You?","35","1985","RCA Victor",162
"8","Lisa Lisa & Cult Jam With Full Force","I Wonder If I Take You Home","35","1985","Columbia",163
"9","Doug E. Fresh & the Get Fresh Crew","The Show/La-Di-Da-Di","34","1985","Reality",164
"10","Kate Bush","Running Up That Hill","32","1985","EMI America",165
"11","Madonna","Into the Groove","29","1985","Sire",166
"12","Dire Straits","Money for Nothing","28","1985","Warner Bros.",167
"13","John Fogerty","Rock & Roll Girls/Centerfield","23","1985","Warner Bros.",168
"13","Katrina and the Waves","Walking on Sunshine","23","1985","Capitol",169
"13","Paul Young","Every Time You Go Away","23","1985","Capitol",170
"16","Talking Heads","And She Was","22","1985","Sire",171
"17","Rockin' Sidney","My Toot Toot","21","1985","Maison de Soul",172
