"year","percentage","critPicks","total","avgWeeks","mostWeeks","percWeeks"
"1984",NA,NA,NA,NA,NA,NA
"1985",0,0,51,1,2,0
"1986",0,0,51,1,2,0
"1987",0,0,49,1.1,3,0
"1988",0,0,48,1.1,2,0
"1989",0,0,50,1.1,2,0
"1990",0,0,23,2.3,5,0
"1991",0,0,29,1.8,3,0
"1992",0,0,24,2.2,5,0
"1993",0,0,32,1.6,4,0
"1994",0,0,30,1.8,4,0
"1995",0,0,28,1.8,5,0
"1996",0,0,28,1.9,3,0
"1997",0,0,23,2.3,5,0
"1998",0.04,1,25,2.1,6,0.0192307692307692
"1999",0,0,18,3.1,8,0
"2000",0,0,17,2.9,5,0
"2001",0,0,21,2.5,6,0
"2002",0,0,20,2.5,7,0
"2003",0,0,18,3.1,8,0
"2004",0.05,1,20,2.5,7,0.0961538461538462
"2005",0,0,19,2.7,6,0
"2006",0,0,22,2.3,6,0
"2007",0,0,25,2.2,6,0
"2008",0,0,24,1.9,4,0
"2009",0.0344827586206897,1,29,1.8,5,0.0384615384615385
"2010",0,0,29,1.8,4,0
"2011",0,0,33,1.6,4,0
"2012",0.0344827586206897,1,29,2.6,24,0.173076923076923
"2013",0,0,7,4.3,12,0.0192307692307692
"2014",0,0,12,4.4,14,0
