"date","song","artist","index"
1985-01-05,"Does Fort Worth Ever Cross Your Mind","George Strait",0
1985-01-12,"The Best Year Of My Life","Eddie Rabbitt",0
1985-01-19,"How Blue","Reba McEntire",0
1985-01-26,"(There s A) Fire In The Night","Alabama",0
1985-02-02,"A Place To Fall Apart","Merle Haggard",0
1985-02-09,"Ain t She Something Else","Conway Twitty",0
1985-02-16,"Make My Life With You","The Oak Ridge Boys",0
1985-02-23,"Baby s Got Her Blue Jeans On","Mel McDaniel",0
1985-03-02,"Baby Bye Bye","Gary Morris",0
1985-03-09,"My Only Love","The Statler Brothers",0
1985-03-16,"Crazy For Your Love","Exile",0
1985-03-23,"Seven Spanish Angels","Ray Charles with Willie Nelson",0
1985-03-30,"Crazy","Kenny Rogers",0
1985-04-06,"Country Girls","John Schneider",0
1985-04-13,"Honor Bound","Earl Thomas Conley",0
1985-04-20,"I Need More Of You","The Bellamy Brothers",0
1985-04-27,"Girls Night Out","The Judds",0
1985-05-04,"There s No Way","Alabama",0
1985-05-11,"Somebody Should Leave","Reba McEntire",0
1985-05-18,"Step That Step","Sawyer Brown",0
1985-05-25,"Radio Heart","Charly McClain",0
1985-06-01,"Don t Call Him A Cowboy","Conway Twitty",0
1985-06-08,"Natural High","Merle Haggard",0
1985-06-15,"Country Boy","Ricky Skaggs",0
1985-06-22,"Little Things","The Oak Ridge Boys",0
1985-06-29,"She Keeps The Home Fires Burning","Ronnie Milsap",0
1985-07-06,"She s A Miracle","Exile",0
1985-07-13,"Forgiving You Was Easy","Willie Nelson",0
1985-07-20,"Dixie Road","Lee Greenwood",0
1985-07-27,"Love Don t Care","Earl Thomas Conley",0
1985-08-03,"40 Hour Week (For A Livin )","Alabama",0
1985-08-10,"I m For Love","Hank Williams Jr.",0
1985-08-17,"Highwayman","W.Jennings,W.Nelson,J.Cash,K.Kristofferson",0
1985-08-24,"Real Love","Dolly Parton (Duet With Kenny Rogers)",0
1985-08-31,"Love Is Alive","The Judds",0
1985-09-07,"I Don t Know Why You Don t Want Me","Rosanne Cash",0
1985-09-14,"Modern Day Romance","The Nitty Gritty Dirt Band",0
1985-09-21,"I Fell In Love Again Last Night","The Forester Sisters",0
1985-09-28,"Lost In The Fifties Tonight(In The Still)","Ronnie Milsap",0
1985-10-05,"Lost In The Fifties Tonight(In The Still)","Ronnie Milsap",0
1985-10-12,"Meet Me In Montana","Marie Osmond (With Dan Seals)",0
1985-10-19,"You Make Me Want To Make You Mine","Juice Newton",0
1985-10-26,"Touch A Hand,Make A Friend","The Oak Ridge Boys",0
1985-11-02,"Some Fools Never Learn","Steve Wariner",0
1985-11-09,"Can t Keep A Good Man Down","Alabama",0
1985-11-16,"Hang On To Your Heart","Exile",0
1985-11-23,"I ll Never Stop Loving You","Gary Morris",0
1985-11-30,"Too Much On My Heart","The Statler Brothers",0
1985-12-07,"I Don t Mind The Thorns (If You re The Rose)","Lee Greenwood",0
1985-12-14,"Nobody Falls Like A Fool","Earl Thomas Conley",0
1985-12-21,"The Chair","George Strait",0
1985-12-28,"Have Mercy","The Judds",0
1986-01-04,"Morning Desire","Kenny Rogers",0
1986-01-11,"Morning Desire","Kenny Rogers",0
1986-01-18,"Bop","Dan Seals",0
1986-01-25,"Never Be You","Rosanne Cash",0
1986-02-01,"Just In Case","The Forester Sisters",0
1986-02-08,"Hurt","Juice Newton",0
1986-02-15,"Makin Up For Lost Time","Crystal Gayle And Gary Morris",0
1986-02-22,"There s No Stopping Your Heart","Marie Osmond",0
1986-03-01,"You Can Dream Of Me","Steve Wariner",0
1986-03-08,"Think About Love","Dolly Parton",0
1986-03-15,"I Could Get Used To You","Exile",0
1986-03-22,"What s A Memory Like You (Doing In A Love Like This)","John Schneider",0
1986-03-29,"Don t Underestimate My Love For You","Lee Greenwood",0
1986-04-05,"100% Chance Of Rain","Gary Morris",0
1986-04-12,"She And I","Alabama",0
1986-04-19,"Cajun Moon","Ricky Skaggs",0
1986-04-26,"Now And Forever (You","Anne Murray",0
1986-05-03,"Once In A Blue Moon","Earl Thomas Conley",0
1986-05-10,"Grandpa (Tell Me bout The Good Old Days)","The Judds",0
1986-05-17,"Ain t Misbehavin","Hank Williams Jr.",0
1986-05-24,"Tomb Of The Unknown Love","Kenny Rogers",0
1986-05-31,"Whoever s In New England","Reba McEntire",0
1986-06-07,"Happy, Happy Birthday Baby","Ronnie Milsap",0
1986-06-14,"Life s Highway","Steve Wariner",0
1986-06-21,"Mama s Never Seen Those Eyes","The Forester Sisters",0
1986-06-28,"Living In The Promiseland","Willie Nelson",0
1986-07-05,"Everything That Glitters (Is Not Gold)","Dan Seals",0
1986-07-12,"Hearts Aren t Made To Break (They re Made To Love)","Lee Greenwood",0
1986-07-19,"Until I Met You","Judy Rodman",0
1986-07-26,"On The Other Hand","Randy Travis",0
1986-08-02,"Nobody In His Right Mind Would ve Left Her","George Strait",0
1986-08-09,"Rockin With The Rhythm Of The Rain","The Judds",0
1986-08-16,"You re The Last Thing I Needed Tonight","John Schneider",0
1986-08-23,"Strong Heart","T.G. Sheppard",0
1986-08-30,"Heartbeat In The Darkness","Don Williams",0
1986-09-06,"Desperado Love","Conway Twitty",0
1986-09-13,"Little Rock","Reba McEntire",0
1986-09-20,"Got My Heart Set On You","John Conlee",0
1986-09-27,"In Love","Ronnie Milsap",0
1986-10-04,"Always Have Always Will","Janie Frickie",0
1986-10-11,"Both To Each Other (Friends","Eddie Rabbitt",0
1986-10-18,"Just Another Love","Tanya Tucker",0
1986-10-25,"Cry","Crystal Gayle",0
1986-11-01,"It ll Be Me","Exile",0
1986-11-08,"Diggin Up Bones","Randy Travis",0
1986-11-15,"That Rock Won t Roll","Restless Heart",0
1986-11-22,"You re Still New To Me","Marie Osmond With Paul Davis",0
1986-11-29,"Touch Me When We re Dancing","Alabama",0
1986-12-06,"It Ain t Cool To Be Crazy About You","George Strait",0
