"date","album","artist","index"
1985-01-05,"Kentucky Hearts","Exile",0
1985-01-12,"Kentucky Hearts","Exile",0
1985-01-19,"Kentucky Hearts","Exile",0
1985-01-26,"Why Not Me","The Judds",0
1985-02-02,"Why Not Me","The Judds",0
1985-02-09,"Why Not Me","The Judds",0
1985-02-16,"Why Not Me","The Judds",0
1985-02-23,"Country Boy","Ricky Skaggs",0
1985-03-02,"Country Boy","Ricky Skaggs",0
1985-03-09,"Country Boy","Ricky Skaggs",0
1985-03-16,"Treadin Water","Earl Thomas Conley",0
1985-03-23,"Friendship","Ray Charles",0
1985-03-30,"40 Hour Week","Alabama",0
1985-04-06,"40 Hour Week","Alabama",0
1985-04-13,"40 Hour Week","Alabama",0
1985-04-20,"40 Hour Week","Alabama",0
1985-04-27,"40 Hour Week","Alabama",0
1985-05-04,"40 Hour Week","Alabama",0
1985-05-11,"40 Hour Week","Alabama",0
1985-05-18,"40 Hour Week","Alabama",0
1985-05-25,"40 Hour Week","Alabama",0
1985-06-01,"40 Hour Week","Alabama",0
1985-06-08,"40 Hour Week","Alabama",0
1985-06-15,"40 Hour Week","Alabama",0
1985-06-22,"Five-O","Hank Williams Jr.",0
1985-06-29,"Five-O","Hank Williams Jr.",0
1985-07-06,"Five-O","Hank Williams Jr.",0
1985-07-13,"Five-O","Hank Williams Jr.",0
1985-07-20,"Five-O","Hank Williams Jr.",0
1985-07-27,"Five-O","Hank Williams Jr.",0
1985-08-03,"40 Hour Week","Alabama",0
1985-08-10,"40 Hour Week","Alabama",0
1985-08-17,"Five-O","Hank Williams Jr.",0
1985-08-24,"Five-O","Hank Williams Jr.",0
1985-08-31,"Five-O","Hank Williams Jr.",0
1985-09-07,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-09-14,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-09-21,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-09-28,"Highwayman","Willie, Waylon, Johnny",0
1985-10-05,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-10-12,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-10-19,"Pardners In Rhyme","The Statler Brothers",0
1985-10-26,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-11-02,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-11-09,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-11-16,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-11-23,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-11-30,"Greatest Hits Vol. 2","Ronnie Milsap",0
1985-12-07,"Rhythm And Romance","Rosanne Cash",0
1985-12-14,"Something Special","George Strait",0
1985-12-21,"Anything Goes","Gary Morris",0
1985-12-28,"The Heart Of The Matter","Kenny Rogers",0
1986-01-04,"The Heart Of The Matter","Kenny Rogers",0
1986-01-11,"The Heart Of The Matter","Kenny Rogers",0
1986-01-18,"The Heart Of The Matter","Kenny Rogers",0
1986-01-25,"The Heart Of The Matter","Kenny Rogers",0
1986-02-01,"The Heart Of The Matter","Kenny Rogers",0
1986-02-08,"Greatest Hits, Volume II","Hank Williams Jr.",0
1986-02-15,"Greatest Hits, Volume II","Hank Williams Jr.",0
1986-02-22,"Streamline","Lee Greenwood",0
1986-03-01,"Rockin With The Rhythm","The Judds",0
1986-03-08,"Won t Be Blue Anymore","Dan Seals",0
1986-03-15,"I Have Returned","Ray Stevens",0
1986-03-22,"Greatest Hits","Earl Thomas Conley",0
1986-03-29,"Live In London","Ricky Skaggs",0
1986-04-05,"Greatest Hits","Alabama",0
1986-04-12,"Greatest Hits","Alabama",0
1986-04-19,"A Memory Like You","John Schneider",0
1986-04-26,"Greatest Hits","Alabama",0
1986-05-03,"Greatest Hits","Alabama",0
1986-05-10,"Greatest Hits","Alabama",0
1986-05-17,"Five-O","Hank Williams Jr.",0
1986-05-24,"Whoever s In New England","Reba McEntire",0
1986-05-31,"The Promiseland","Willie Nelson",0
1986-06-07,"The Promiseland","Willie Nelson",0
1986-06-14,"Will The Wolf Survive","Waylon Jennings",0
1986-06-21,"Lost In The Fifties Tonight","Ronnie Milsap",0
1986-06-28,"Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam",471
1986-07-05,"Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam",471
1986-07-12,"#7","George Strait",0
1986-07-19,"#7","George Strait",0
1986-08-02,"#7","George Strait",0
1986-08-09,"Storms Of Life","Randy Travis",0
1986-08-16,"Storms Of Life","Randy Travis",0
1986-08-30,"Storms Of Life","Randy Travis",0
1986-09-13,"Montana Cafe","Hank Williams Jr.",0
1986-09-27,"Montana Cafe","Hank Williams Jr.",0
1986-10-11,"Storms Of Life","Randy Travis",0
1986-10-25,"Storms Of Life","Randy Travis",0
1986-11-08,"Guitar Town","Steve Earle",445
1986-11-15,"The Touch","Alabama",0
1986-11-22,"The Touch","Alabama",0
1986-11-29,"The Touch","Alabama",0
1986-12-06,"The Touch","Alabama",0
1986-12-20,"The Touch","Alabama",0
1987-01-03,"The Touch","Alabama",0
1987-01-10,"The Touch","Alabama",0
1987-01-17,"The Touch","Alabama",0
1987-01-24,"What Am I Gonna Do About You","Reba McEntire",0
1987-01-31,"What Am I Gonna Do About You","Reba McEntire",0
1987-02-07,"What Am I Gonna Do About You","Reba McEntire",0
1987-02-14,"Ocean Front Property","George Strait",0
1987-02-21,"Ocean Front Property","George Strait",0
1987-02-28,"Ocean Front Property","George Strait",0
1987-03-07,"Ocean Front Property","George Strait",0
1987-03-14,"Ocean Front Property","George Strait",0
1987-03-21,"Heartland","The Judds",0
1987-03-28,"Heartland","The Judds",0
1987-04-04,"Heartland","The Judds",0
1987-04-11,"Hank Live","Hank Williams Jr.",0
1987-04-18,"Wheels","Restless Heart",0
1987-04-25,"Ocean Front Property","George Strait",0
1987-05-02,"Trio","Dolly Parton, Linda Ronstadt, Emmylou Harris",0
1987-05-09,"Trio","Dolly Parton, Linda Ronstadt, Emmylou Harris",0
