"year","percentage","critPicks","total","avgWeeks","mostWeeks","percWeeks"
"1984",0.421052631578947,8,19,3.1,10,0.442307692307692
"1985",0.115384615384615,3,26,4.8,9,0.155844155844156
"1986",0.233333333333333,7,30,1.8,6,0.168224299065421
"1987",0.103448275862069,3,29,2.2,8,0.211538461538462
"1988",0.09375,3,32,2.8,8,0.072463768115942
"1989",0.125,4,32,1.7,4,0.103448275862069
"1990",0.12,3,25,2,4,0.153846153846154
"1991",0.230769230769231,6,26,2.1,7,0.230769230769231
"1992",0.0909090909090909,1,11,4.5,14,0.307692307692308
"1993",0.0909090909090909,1,11,4.5,8,0.134615384615385
"1994",0,0,8,9.8,22,0
"1995",0.181818181818182,2,11,5.5,16,0.125
"1996",0.125,1,8,6,14,0.0769230769230769
"1997",0.4,4,10,4.7,14,0.230769230769231
"1998",0.125,2,16,3.1,12,0.269230769230769
"1999",0.357142857142857,5,14,3.7,12,0.5
"2000",0.176470588235294,3,17,2.9,10,0.188679245283019
"2001",0.357142857142857,5,14,3.9,7,0.326923076923077
"2002",0.285714285714286,2,7,7,12,0.326923076923077
"2003",0.454545454545455,5,11,4.9,9,0.538461538461538
"2004",0.545454545454545,6,11,4.2,12,0.634615384615385
"2005",0.375,3,8,6.8,14,0.528301886792453
"2006",0.388888888888889,7,18,3.2,10,0.5
"2007",0.235294117647059,4,17,2.4,7,0.403846153846154
"2008",0.615384615384615,8,13,4.1,10,0.576923076923077
"2009",0.333333333333333,4,12,4.1,14,0.615384615384615
"2010",0.294117647058824,5,17,3.2,9,0.423076923076923
"2011",0.384615384615385,5,13,4.1,10,0.60377358490566
"2012",0.454545454545455,5,11,4.1,9,0.576923076923077
"2013",0.4,4,10,5,12,0.576923076923077
"2014",0.555555555555556,5,9,5.8,10,0.653846153846154
