"year","percentage","critPicks","total","avgWeeks","mostWeeks","percWeeks"
"1984",NA,NA,NA,NA,NA,NA
"1985",0.130434782608696,3,23,2.4,5,0.153846153846154
"1986",0.2,4,20,2.5,6,0.211538461538462
"1987",0.210526315789474,4,19,2.8,5,0.25
"1988",0,0,18,2.9,6,0
"1989",0.1,2,20,2.5,5,0.153846153846154
"1990",0,0,22,2.4,6,0
"1991",0.142857142857143,2,14,3.8,12,0.115384615384615
"1992",0.153846153846154,2,13,3.4,11,0.269230769230769
"1993",0,0,15,3.4,9,0
"1994",0.1,1,10,5.3,15,0.132075471698113
"1995",0.1,1,10,5.2,10,0.0961538461538462
"1996",0.133333333333333,2,15,3.7,8,0.0961538461538462
"1997",0,0,10,5.2,16,0
"1998",0,0,11,5,11,0
"1999",0.166666666666667,1,6,8.2,17,0.192307692307692
"2000",0.142857142857143,1,7,7.6,20,0.169811320754717
"2001",0.25,2,8,6.8,20,0.352941176470588
"2002",0.0909090909090909,1,11,5.3,17,0.0769230769230769
"2003",0,0,9,4.4,14,0
"2004",0,0,8,6.5,13,0
"2005",0.125,1,8,6.2,14,0.264150943396226
"2006",0,0,8,7.2,13,0
"2007",0,0,7,6.9,14,0
"2008",0,0,9,6,14,0
"2009",0,0,11,4.6,11,0
"2010",0,0,9,5.1,8,0
"2011",0,0,11,5,12,0
"2012",0,0,10,5,13,0
"2013",0,0,18,2.7,11,0
"2014",0,0,13,3.8,13,0
