"date","album","artist","index"
1985-01-05,"New Edition","New Edition",0
1985-01-12,"New Edition","New Edition",0
1985-01-19,"New Edition","New Edition",0
1985-01-26,"New Edition","New Edition",0
1985-02-02,"New Edition","New Edition",0
1985-02-09,"Solid","Ashford",0
1985-02-16,"Solid","Ashford",0
1985-02-23,"Solid","Ashford",0
1985-03-02,"Solid","Ashford",0
1985-03-09,"Gap Band VI","Gap Band",0
1985-03-16,"Gap Band VI","Gap Band",0
1985-03-23,"Private Dancer","Tina Turner",357
1985-03-30,"Private Dancer","Tina Turner",357
1985-04-06,"Nightshift","Commodores",0
1985-04-13,"Nightshift","Commodores",0
1985-04-20,"Nightshift","Commodores",0
1985-04-27,"Can t Stop The Love","Maze Featuring Frankie Beverly",0
1985-05-04,"The Night I Fell In Love","Luther Vandross",422
1985-05-11,"The Night I Fell In Love","Luther Vandross",422
1985-05-18,"The Night I Fell In Love","Luther Vandross",422
1985-05-25,"The Night I Fell In Love","Luther Vandross",422
1985-06-01,"The Night I Fell In Love","Luther Vandross",422
1985-06-08,"The Night I Fell In Love","Luther Vandross",422
1985-06-15,"The Night I Fell In Love","Luther Vandross",422
1985-06-22,"Whitney Houston","Whitney Houston",0
1985-06-29,"Rock Me Tonight","Freddie Jackson",0
1985-07-06,"Rock Me Tonight","Freddie Jackson",0
1985-07-13,"Rock Me Tonight","Freddie Jackson",0
1985-07-20,"Rock Me Tonight","Freddie Jackson",0
1985-07-27,"Rock Me Tonight","Freddie Jackson",0
1985-08-03,"Rock Me Tonight","Freddie Jackson",0
1985-08-10,"Rock Me Tonight","Freddie Jackson",0
1985-08-17,"Rock Me Tonight","Freddie Jackson",0
1985-08-24,"Rock Me Tonight","Freddie Jackson",0
1985-08-31,"Rock Me Tonight","Freddie Jackson",0
1985-09-07,"Whitney Houston","Whitney Houston",0
1985-09-14,"Whitney Houston","Whitney Houston",0
1985-09-21,"Whitney Houston","Whitney Houston",0
1985-09-28,"Whitney Houston","Whitney Houston",0
1985-10-05,"Whitney Houston","Whitney Houston",0
1985-10-12,"Rock Me Tonight","Freddie Jackson",0
1985-10-19,"Rock Me Tonight","Freddie Jackson",0
1985-10-26,"Rock Me Tonight","Freddie Jackson",0
1985-11-02,"Rock Me Tonight","Freddie Jackson",0
1985-11-09,"In Square Circle","Stevie Wonder",0
1985-11-16,"In Square Circle","Stevie Wonder",0
1985-11-23,"In Square Circle","Stevie Wonder",0
1985-11-30,"In Square Circle","Stevie Wonder",0
1985-12-07,"In Square Circle","Stevie Wonder",0
1985-12-14,"In Square Circle","Stevie Wonder",0
1985-12-21,"In Square Circle","Stevie Wonder",0
1985-12-28,"In Square Circle","Stevie Wonder",0
1986-01-04,"Whitney Houston","Whitney Houston",0
1986-01-11,"In Square Circle","Stevie Wonder",0
1986-01-18,"In Square Circle","Stevie Wonder",0
1986-01-25,"In Square Circle","Stevie Wonder",0
1986-02-01,"Promise","Sade",0
1986-02-08,"Promise","Sade",0
1986-02-15,"Promise","Sade",0
1986-02-22,"Promise","Sade",0
1986-03-01,"Promise","Sade",0
1986-03-08,"Promise","Sade",0
1986-03-15,"Promise","Sade",0
1986-03-22,"Promise","Sade",0
1986-03-29,"Promise","Sade",0
1986-04-05,"Promise","Sade",0
1986-04-12,"Promise","Sade",0
1986-04-19,"Control","Janet Jackson",443
1986-04-26,"Control","Janet Jackson",443
1986-05-03,"Control","Janet Jackson",443
1986-05-10,"Control","Janet Jackson",443
1986-05-17,"Control","Janet Jackson",443
1986-05-24,"Control","Janet Jackson",443
1986-05-31,"Control","Janet Jackson",443
1986-06-07,"Control","Janet Jackson",443
1986-06-14,"Winner In You","Patti LaBelle",0
1986-06-21,"Winner In You","Patti LaBelle",0
1986-06-28,"Winner In You","Patti LaBelle",0
