"year","percentage","critPicks","total","avgWeeks","mostWeeks"
"1984",NA,NA,NA,NA,NA
"1985",0.2,2,10,5.6,14
"1986",0.25,2,8,7.8,24
"1987",0.166666666666667,1,6,6.8,18
"1988",0.153846153846154,2,13,3.6,8
"1989",0.0666666666666667,1,15,3.3,11
"1990",0.166666666666667,1,6,9,29
"1991",0.105263157894737,2,19,2.4,8
"1992",0.166666666666667,2,12,4.8,12
"1993",0.15,3,20,2.5,8
"1994",0.0555555555555556,1,18,3.2,10
"1995",0,0,18,2.8,10
"1996",0.0434782608695652,1,23,2.1,8
"1997",0.166666666666667,4,24,2.1,5
"1998",0.08,2,25,2.1,6
"1999",0.103448275862069,3,29,1.8,4
"2000",0.0645161290322581,2,31,1.7,6
"2001",0.125,3,24,2.2,6
"2002",0.08,2,25,2.3,7
"2003",0.111111111111111,3,27,1.9,8
"2004",0.0740740740740741,2,27,1.8,11
"2005",0.0967741935483871,3,31,1.6,5
"2006",0.0277777777777778,1,36,1.4,4
"2007",0.0967741935483871,3,31,1.7,7
"2008",0.111111111111111,3,27,1.9,7
"2009",0.0714285714285714,2,28,1.8,6
"2010",0.0909090909090909,2,22,2.5,16
"2011",0.136363636363636,3,22,2.6,12
"2012",0.0967741935483871,3,31,1.5,7
"2013",0.0833333333333333,2,24,2.3,10
"2014",0.03125,1,32,1.3,3
