"year","percentage","critPicks","total","avgWeeks","mostWeeks","percWeeks"
"1984",NA,NA,NA,NA,NA,NA
"1985",0.19047619047619,4,21,2.5,6,0.269230769230769
"1986",0.12,3,25,2.1,4,0.173076923076923
"1987",0.15625,5,32,1.7,4,0.192307692307692
"1988",0.161290322580645,5,31,1.5,3,0.215686274509804
"1989",0.0789473684210526,3,38,1.4,3,0.0576923076923077
"1990",0.0857142857142857,3,35,1.4,3,0.115384615384615
"1991",0.0540540540540541,2,37,1.4,4,0.0576923076923077
"1992",0.032258064516129,1,31,1.8,11,0.0576923076923077
"1993",0.307692307692308,4,13,3.6,8,0.153846153846154
"1994",0.111111111111111,1,9,6.2,12,0.0754716981132075
"1995",0,0,12,4.1,9,0.0961538461538462
"1996",0.0588235294117647,1,17,3.2,7,0.115384615384615
"1997",0.0833333333333333,1,12,4.2,10,0.0588235294117647
"1998",0.0769230769230769,1,13,4.2,13,0.153846153846154
"1999",0.0833333333333333,1,12,3.9,9,0.0961538461538462
"2000",0.277777777777778,5,18,2.9,7,0.377358490566038
"2001",0.142857142857143,2,14,3.1,7,0.173076923076923
"2002",0.4,4,10,5.5,10,0.365384615384615
"2003",0.583333333333333,7,12,4.7,9,0.538461538461538
"2004",0.666666666666667,6,9,5,8,0.826923076923077
"2005",0.363636363636364,4,11,4.5,14,0.39622641509434
"2006",0.333333333333333,4,12,4.7,15,0.519230769230769
"2007",0.142857142857143,1,7,6.6,11,0.269230769230769
"2008",0.333333333333333,4,12,4.9,12,0.288461538461538
"2009",0.375,3,8,5.8,14,0.596153846153846
"2010",0,0,8,7.1,13,0
"2011",0.1,1,10,5.1,11,0.132075471698113
"2012",0.285714285714286,2,7,5.3,11,0.288461538461538
"2013",0.4,2,5,11,16,0.403846153846154
"2014",0.3,3,10,5.2,13,0.5
