"date","song","artist","index"
1985-01-05,"The Boys Of Summer","Don Henley",161
1985-01-12,"The Boys Of Summer","Don Henley",161
1985-01-19,"I Want To Know What Love Is","Foreigner",0
1985-01-26,"The Old Man Down The Road","John Fogerty",142
1985-02-02,"The Old Man Down The Road","John Fogerty",142
1985-02-09,"The Old Man Down The Road","John Fogerty",142
1985-02-16,"Somebody","Bryan Adams",0
1985-02-23,"Somebody","Bryan Adams",0
1985-03-02,"Just Another Night","Mick Jagger",0
1985-03-09,"Just Another Night","Mick Jagger",0
1985-03-16,"Radioactive","The Firm",0
1985-03-23,"All She Wants To Do Is Dance","Don Henley",0
1985-03-30,"All She Wants To Do Is Dance","Don Henley",0
1985-04-06,"Forever Man","Eric Clapton",0
1985-04-13,"Forever Man","Eric Clapton",0
1985-04-20,"Don t You (Forget About Me)","Simple Minds",0
1985-04-27,"Don t You (Forget About Me)","Simple Minds",0
1985-05-04,"Don t You (Forget About Me)","Simple Minds",0
1985-05-11,"Trapped","Bruce Springsteen",0
1985-05-18,"Trapped","Bruce Springsteen",0
1985-05-25,"Trapped","Bruce Springsteen",0
1985-06-01,"Little By Little","Robert Plant",0
1985-06-08,"Little By Little","Robert Plant",0
1985-06-15,"Tough All Over","John Cafferty",0
1985-06-22,"Tough All Over","John Cafferty",0
1985-06-29,"If You Love Somebody Set Them Free","Sting",0
1985-07-06,"If You Love Somebody Set Them Free","Sting",0
1985-07-13,"If You Love Somebody Set Them Free","Sting",0
1985-07-20,"The Power Of Love","Huey Lewis",0
1985-07-27,"The Power Of Love","Huey Lewis",0
1985-08-03,"Money For Nothing","Dire Straits",167
1985-08-10,"Money For Nothing","Dire Straits",167
1985-08-17,"Money For Nothing","Dire Straits",167
1985-08-24,"Fortress Around Your Heart","Sting",0
1985-08-31,"Fortress Around Your Heart","Sting",0
1985-09-07,"Lonely Ol Night","John Mellencamp",0
1985-09-14,"Lonely Ol Night","John Mellencamp",0
1985-09-21,"Lonely Ol Night","John Mellencamp",0
1985-09-28,"Lonely Ol Night","John Mellencamp",0
1985-10-05,"Lonely Ol Night","John Mellencamp",0
1985-10-12,"We Built This City","Starship",0
1985-10-19,"You Belong To The City","Glenn Frey",0
1985-10-26,"You Belong To The City","Glenn Frey",0
1985-11-02,"You Belong To The City","Glenn Frey",0
1985-11-09,"Sleeping Bag","ZZ Top",0
1985-11-16,"Sleeping Bag","ZZ Top",0
1985-11-23,"Tonight She Comes","The Cars",0
1985-11-30,"Tonight She Comes","The Cars",0
1985-12-07,"Tonight She Comes","The Cars",0
1985-12-14,"Talk To Me","Stevie Nicks",0
1985-12-21,"Talk To Me","Stevie Nicks",0
1985-12-28,"Silent Running","Mike",0
1986-01-04,"Silent Running","Mike",0
1986-01-11,"Silent Running","Mike",0
1986-01-18,"Silent Running","Mike",0
1986-01-25,"Silent Running","Mike",0
1986-02-01,"Kyrie","Mr. Mister",0
1986-02-08,"Stages","ZZ Top",0
1986-02-15,"Stages","ZZ Top",0
1986-02-22,"All The Kings Horses","The Firm",0
1986-03-01,"All The Kings Horses","The Firm",0
1986-03-08,"All The Kings Horses","The Firm",0
1986-03-15,"All The Kings Horses","The Firm",0
1986-03-22,"Addicted To Love","Robert Palmer",204
1986-03-29,"Addicted To Love","Robert Palmer",204
1986-04-05,"Why Can t This Be Love","Van Halen",0
1986-04-12,"Why Can t This Be Love","Van Halen",0
1986-04-19,"Why Can t This Be Love","Van Halen",0
1986-04-26,"Stick Around","Julian Lennon",0
1986-05-03,"Stick Around","Julian Lennon",0
1986-05-10,"Stick Around","Julian Lennon",0
1986-05-17,"Like A Rock","Bob Seger",0
1986-05-24,"Like A Rock","Bob Seger",0
1986-05-31,"Sledgehammer","Peter Gabriel",186
1986-06-07,"Sledgehammer","Peter Gabriel",186
1986-06-14,"Invisible Touch","Genesis",0
1986-06-21,"Invisible Touch","Genesis",0
1986-06-28,"Invisible Touch","Genesis",0
1986-07-05,"Secret Separation","The Fixx",0
1986-07-12,"Secret Separation","The Fixx",0
1986-07-19,"Higher Love","Steve Winwood",190
1986-07-26,"Higher Love","Steve Winwood",190
1986-08-02,"Higher Love","Steve Winwood",190
1986-08-09,"Higher Love","Steve Winwood",190
1986-08-16,"Missionary Man","Eurythmics",0
1986-08-23,"Throwing It All Away","Genesis",0
1986-08-30,"Throwing It All Away","Genesis",0
1986-09-06,"Throwing It All Away","Genesis",0
1986-09-13,"In Your Eyes","Peter Gabriel",0
1986-09-20,"Take Me Home Tonight","Eddie Money",0
1986-09-27,"Take Me Home Tonight","Eddie Money",0
1986-10-04,"Emotion In Motion","Ric Ocasek",0
1986-10-11,"Amanda","Boston",0
1986-10-18,"Amanda","Boston",0
1986-10-25,"Amanda","Boston",0
1986-11-01,"Hip To Be Square","Huey Lewis",0
1986-11-08,"Don't Get Me Wrong","Pretenders",197
1986-11-15,"Don't Get Me Wrong","Pretenders",197
1986-11-22,"Don't Get Me Wrong","Pretenders",197
1986-11-29,"I Want To Make The World","Steve Miller",0
1986-12-06,"I Want To Make The World","Steve Miller",0
1986-12-13,"I Want To Make The World","Steve Miller",0
1986-12-20,"I Want To Make The World","Steve Miller",0
1986-12-27,"I Want To Make The World","Steve Miller",0
1987-01-03,"I Want To Make The World","Steve Miller",0
1987-01-10,"It's In The Way You Use It","Eric Clapton",0
1987-01-17,"My Baby","Pretenders",0
1987-01-24,"My Baby","Pretenders",0
1987-01-31,"Livin On A Prayer","Bon Jovi",0
1987-02-07,"Livin On A Prayer","Bon Jovi",0
1987-02-14,"Midnight Blue","Lou Gramm",0
1987-02-21,"Midnight Blue","Lou Gramm",0
1987-02-28,"Midnight Blue","Lou Gramm",0
1987-03-07,"Midnight Blue","Lou Gramm",0
1987-03-14,"Midnight Blue","Lou Gramm",0
1987-03-21,"I m No Angel","Gregg Allman",0
1987-03-28,"Come As You Are","Peter Wolf",0
1987-04-04,"With Or Without You","U2",223
1987-04-11,"With Or Without You","U2",223
1987-04-18,"With Or Without You","U2",223
1987-04-25,"With Or Without You","U2",223
1987-05-02,"With Or Without You","U2",223
1987-05-09,"Jammin Me","Tom Petty And The Heartbreakers",0
1987-05-16,"Jammin Me","Tom Petty And The Heartbreakers",0
1987-05-23,"Jammin Me","Tom Petty And The Heartbreakers",0
1987-05-30,"Jammin Me","Tom Petty And The Heartbreakers",0
1987-06-06,"Shakedown","Bob Seger",0
1987-06-13,"Shakedown","Bob Seger",0
1987-06-20,"Shakedown","Bob Seger",0
1987-06-27,"Shakedown","Bob Seger",0
1987-07-04,"Don t Mean Nothing","Richard Marx",0
1987-07-11,"Give To Live","Sammy Hagar",0
1987-07-18,"Give To Live","Sammy Hagar",0
1987-07-25,"Give To Live","Sammy Hagar",0
1987-08-01,"Touch Of Grey","Grateful Dead",213
1987-08-08,"Touch Of Grey","Grateful Dead",213
1987-08-15,"Touch Of Grey","Grateful Dead",213
1987-08-22,"Paper In Fire","John Mellencamp",0
1987-08-29,"Paper In Fire","John Mellencamp",0
1987-09-05,"Paper In Fire","John Mellencamp",0
1987-09-12,"Paper In Fire","John Mellencamp",0
1987-09-19,"Paper In Fire","John Mellencamp",0
1987-09-26,"Learning To Fly","Pink Floyd",0
1987-10-03,"Learning To Fly","Pink Floyd",0
1987-10-10,"Learning To Fly","Pink Floyd",0
1987-10-17,"Brilliant Disguise","Bruce Springsteen",214
1987-10-24,"Love Will Find A Way","Yes",0
1987-10-31,"Love Will Find A Way","Yes",0
1987-11-07,"Love Will Find A Way","Yes",0
1987-11-14,"Cherry Bomb","John Mellencamp",0
